date,usage
2015-01-01,13
2015-01-02,54
2015-01-03,15
2015-01-04,22
2015-01-05,65
2015-01-06,42
2015-01-07,50
2015-01-08,44
2015-01-09,59
2015-01-10,23
2015-01-11,16
2015-01-12,43
2015-01-13,53
2015-01-14,55
2015-01-15,61
2015-01-16,65
2015-01-17,16
2015-01-18,0
2015-01-19,57
2015-01-20,103
2015-01-21,71
2015-01-22,67
2015-01-23,69
2015-01-24,11
2015-01-25,32
2015-01-26,25
2015-01-27,4
2015-01-28,18
2015-01-29,45
2015-01-30,42
2015-01-31,23
2015-02-01,13
2015-02-02,5
2015-02-03,17
2015-02-04,52
2015-02-05,50
2015-02-06,49
2015-02-07,27
2015-02-08,16
2015-02-09,23
2015-02-10,66
2015-02-11,37
2015-02-12,53
2015-02-13,32
2015-02-14,9
2015-02-15,3
2015-02-16,16
2015-02-17,21
2015-02-18,33
2015-02-19,53
2015-02-20,41
2015-02-21,11
2015-02-22,20
2015-02-23,38
2015-02-24,37
2015-02-25,55
2015-02-26,45
2015-02-27,45
2015-02-28,28
2015-03-01,9
2015-03-02,41
2015-03-03,33
2015-03-04,35
2015-03-05,5
2015-03-06,29
2015-03-07,26
2015-03-08,25
2015-03-09,61
2015-03-10,68
2015-03-11,91
2015-03-12,70
2015-03-13,73
2015-03-14,13
2015-03-15,16
2015-03-16,72
2015-03-17,76
2015-03-18,60
2015-03-19,70
2015-03-20,41
2015-03-21,21
2015-03-22,30
2015-03-23,72
2015-03-24,78
2015-03-25,54
2015-03-26,53
2015-03-27,65
2015-03-28,7
2015-03-29,24
2015-03-30,66
2015-03-31,87
2015-04-01,90
2015-04-02,109
2015-04-03,66
2015-04-04,34
2015-04-05,36
2015-04-06,100
2015-04-07,88
2015-04-08,71
2015-04-09,69
2015-04-10,58
2015-04-11,37
2015-04-12,45
2015-04-13,102
2015-04-14,108
2015-04-15,100
2015-04-16,106
2015-04-17,107
2015-04-18,80
2015-04-19,74
2015-04-20,38
2015-04-21,64
2015-04-22,82
2015-04-23,118
2015-04-24,82
2015-04-25,56
2015-04-26,43
2015-04-27,88
2015-04-28,100
2015-04-29,115
2015-04-30,109
2015-05-01,104
2015-05-02,62
2015-05-03,50
2015-05-04,95
2015-05-05,123
2015-05-06,100
2015-05-07,137
2015-05-08,136
2015-05-09,46
2015-05-10,64
2015-05-11,115
2015-05-12,130
2015-05-13,129
2015-05-14,150
2015-05-15,139
2015-05-16,84
2015-05-17,75
2015-05-18,139
2015-05-19,146
2015-05-20,139
2015-05-21,139
2015-05-22,121
2015-05-23,59
2015-05-24,65
2015-05-25,79
2015-05-26,140
2015-05-27,137
2015-05-28,149
2015-05-29,136
2015-05-30,97
2015-05-31,36
2015-06-01,66
2015-06-02,53
2015-06-03,130
2015-06-04,111
2015-06-05,112
2015-06-06,76
2015-06-07,55
2015-06-08,144
2015-06-09,142
2015-06-10,166
2015-06-11,178
2015-06-12,120
2015-06-13,96
2015-06-14,70
2015-06-15,91
2015-06-16,128
2015-06-17,151
2015-06-18,131
2015-06-19,152
2015-06-20,56
2015-06-21,48
2015-06-22,125
2015-06-23,128
2015-06-24,160
2015-06-25,146
2015-06-26,149
2015-06-27,40
2015-06-28,71
2015-06-29,170
2015-06-30,151
2015-07-01,172
2015-07-02,147
2015-07-03,50
2015-07-04,65
2015-07-05,82
2015-07-06,130
2015-07-07,168
2015-07-08,127
2015-07-09,112
2015-07-10,192
2015-07-11,84
2015-07-12,101
2015-07-13,160
2015-07-14,153
2015-07-15,154
2015-07-16,146
2015-07-17,149
2015-07-18,80
